name,year_founded,industry,locality,country,current_employee_estimate
pldt,1928,telecommunications,"makati city, metro manila, philippines",philippines,3003
indian health service,1955,human resources,"rockville, maryland, united states",united states,3002
garuda indonesia,1949,airlines/aviation,,,3002
goodlife fitness,1979,"health, wellness and fitness","london, ontario, canada",canada,3002
wheaton franciscan healthcare,1879,hospital & health care,"glendale, wisconsin, united states",united states,3002
olympus,1968,medical devices,"center valley, pennsylvania, united states",united states,3001
carestream health,2007,hospital & health care,"rochester, new york, united states",united states,3000
crédit mutuel,1882,banking,"strasbourg, grand est, france",france,3000
virginia beach city public schools,1963,education management,"virginia beach, virginia, united states",united states,3000
vwr,1852,wholesale,"radnor, pennsylvania, united states",united states,2999
disponível para o mercado,,"health, wellness and fitness",,,2996
realty one group,2005,real estate,"irvine, california, united states",united states,2995
prefeitura da cidade do rio de janeiro,,mental health care,,,2994
dtz,,commercial real estate,"chicago, illinois, united states",united states,2994
jindal steel & power ltd.,,mining & metals,"delhi, delhi, india",india,2993
terex corporation,1986,machinery,"westport, connecticut, united states",united states,2993
general atomics aeronautical systems,1993,aviation & aerospace,"poway, california, united states",united states,2993
telecom argentina,1990,telecommunications,"buenos aires, buenos aires f.d., argentina",argentina,2992
strabag,1835,construction,"vienna, wien, austria",austria,2992
yale university school of medicine,1810,research,"new haven, connecticut, united states",united states,2989
st. luke's health system,1902,hospital & health care,"boise, idaho, united states",united states,2987
aeropostale,1987,retail,"new york, new york, united states",united states,2987
apotex inc.,1974,pharmaceuticals,"toronto, ontario, canada",canada,2986
ranbaxy,1961,pharmaceuticals,"gurgaon, haryana, india",india,2985
symphony teleca,,information technology and services,"mountain view, california, united states",united states,2985
american greetings,1906,consumer goods,"cleveland, ohio, united states",united states,2984
keller williams,,real estate,,,2984
mobinil,1998,telecommunications,"cairo, al qahirah, egypt",egypt,2984
taj hotels resorts and palaces,1903,hospitality,"bombay, maharashtra, india",india,2982
europcar,,"leisure, travel & tourism",,puerto rico,2981
dräger,1889,medical devices,"lubeck, schleswig-holstein, germany",germany,2980
marvalous,,"health, wellness and fitness",,,2980
st. jude children's research hospital,1957,fund-raising,"memphis, tennessee, united states",united states,2978
ameren,1902,utilities,"st. louis, missouri, united states",united states,2977
omni hotels & resorts,1983,hospitality,"dallas, texas, united states",united states,2976
dr pepper snapple group,2008,food & beverages,"plano, texas, united states",united states,2975
sec,,chemicals,,,2975
olam international,1989,food & beverages,"coalinga, california, united states",singapore,2974
bni,1985,marketing and advertising,"upland, california, united states",united states,2974
teleflex incorporated,1943,medical devices,"wayne, pennsylvania, united states",united states,2973
usepa,1970,environmental services,"washington, district of columbia, united states",united states,2973
carter's | oshkosh b'gosh,1865,apparel & fashion,"atlanta, georgia, united states",united states,2972
iberdrola,1840,oil & energy,"bilbao, biscay, spain",spain,2971
jefferies,1962,investment banking,"new york, new york, united states",united states,2971
university of south australia,1991,higher education,"adelaide, south australia, australia",australia,2970
areva np,,oil & energy,,,2969
klabin,1899,paper & forest products,,,2969
movie industry,,renewables & environment,,,2968
douglas county school district,1958,education management,"castle rock, colorado, united states",united states,2968
standard & poor's,,capital markets,"new york, new york, united states",united states,2967
indpendent,1990,design,"riesel, texas, united states",united states,2966
voya financial,2014,financial services,"new york, new york, united states",united states,2966
joy global,1884,mining & metals,"milwaukee, wisconsin, united states",united states,2966
us fish and wildlife service,1940,government administration,"falls church, virginia, united states",united states,2966
the nature conservancy,,non-profit organization management,"arlington, virginia, united states",united states,2964
leeds city council,,government administration,"west yorkshire, kirklees, united kingdom",united kingdom,2964
exp realty,2009,real estate,"bellingham, washington, united states",united states,2963
havas,1991,marketing and advertising,"puteaux, île-de-france, france",france,2963
uthscsa,1959,higher education,"san antonio, texas, united states",united states,2961
barts health nhs trust,2012,hospital & health care,"london, greater london, united kingdom",united kingdom,2961
bc hydro,,utilities,"vancouver, british columbia, canada",canada,2961
university of denver,1864,higher education,"denver, colorado, united states",united states,2961
leo pharma,1908,pharmaceuticals,"copenhagen, capital region, denmark",denmark,2960
anglo platinum,,mining & metals,,,2959
fairfax media,2013,online media,"pyrmont, new south wales, australia",australia,2957
manheim,1945,automotive,"atlanta, georgia, united states",united states,2953
community health network,,hospital & health care,"indianapolis, indiana, united states",united states,2951
pegasystems,1983,computer software,"cambridge, massachusetts, united states",united states,2949
nottingham trent university,,higher education,"nottinghamshire, nottinghamshire, united kingdom",united kingdom,2949
promedica,1986,hospital & health care,"toledo, ohio, united states",united states,2949
stericycle,1989,hospital & health care,"lake forest, illinois, united states",united states,2948
cfisd,1939,education management,"houston, texas, united states",united states,2946
via varejo sa,2012,retail,"são caetano do sul, sao paulo, brazil",brazil,2945
"check point software technologies, ltd.",1993,computer & network security,"san carlos, california, united states",united states,2945
rotary international,1905,non-profit organization management,"evanston, illinois, united states",united states,2944
university of vermont,,higher education,"burlington, vermont, united states",united states,2943
technical university of denmark,1829,research,"denmark, western australia, australia",australia,2942
conifer health solutions,2008,hospital & health care,"frisco, texas, united states",united states,2942
the home depot canada,1994,retail,"toronto, ontario, canada",canada,2940
ministerio público,,government administration,,,2938
colt technology services,1992,telecommunications,"london, greater london, united kingdom",united kingdom,2938
erie insurance group,1925,insurance,"erie, pennsylvania, united states",united states,2937
alkem laboratories ltd.,1973,pharmaceuticals,"bombay, maharashtra, india",india,2937
illinois state university,1857,higher education,"normal, illinois, united states",united states,2936
wockhardt,,pharmaceuticals,"bombay, maharashtra, india",india,2934
highmark inc.,1996,insurance,"pittsburgh, pennsylvania, united states",united states,2933
select medical,1996,hospital & health care,"mechanicsburg, pennsylvania, united states",united states,2933
valuelabs,1997,information technology and services,"hyderabad, andhra pradesh, india",india,2932
swift transportation,1966,transportation/trucking/railroad,"phoenix, arizona, united states",united states,2932
lsu health sciences center,,hospital & health care,"shreveport, louisiana, united states",united states,2931
federal bureau of prisons,1930,law enforcement,"washington, district of columbia, united states",united states,2930
children's hospital colorado,1908,hospital & health care,"aurora, colorado, united states",united states,2928
binghamton university,1946,higher education,"binghamton, new york, united states",united states,2927
vivint smart home,1999,consumer electronics,"provo, utah, united states",united states,2926
estatal,1930,government administration,"lima, lima region, peru",peru,2924
gold coin capital market pvt.ltd,,capital markets,,,2924
berry plastics,1967,plastics,"evansville, indiana, united states",united states,2924
minsa,,government administration,,,2923
descon engineering limited,1977,construction,"lahore, punjab, pakistan",pakistan,2923
modis,,information technology and services,"jacksonville, florida, united states",united states,2923
carefusion,2009,medical devices,"san diego, california, united states",united states,2922
tsc,,wireless,,,2921
state of ohio,,government administration,,,2921
unitypoint health,1995,hospital & health care,"west des moines, iowa, united states",united states,2921
spie,,information technology and services,"france, aquitaine, france",france,2921
life care centers of america,1970,hospital & health care,"cleveland, tennessee, united states",united states,2920
french national institute for agricultural research,1946,research,"paris, île-de-france, france",france,2920
nextel telecomunicações,1997,telecommunications,"sao paulo, sao paulo, brazil",brazil,2919
department for education,,government administration,"london, greater london, united kingdom",united kingdom,2919
wells fargo securities,,financial services,,,2919
privato,2010,airlines/aviation,"van nuys, california, united states",united states,2917
ultimate software,1990,computer software,"weston, florida, united states",united states,2917
trenitalia s.p.a.,2000,railroad manufacture,"rome, lazio, italy",italy,2915
me stessa,2005,internet,"bologna, emilia-romagna, italy",italy,2915
improfit,,management consulting,,,2914
american express global business travel,,"leisure, travel & tourism","scottsdale, arizona, united states",united states,2913
vipkid,2012,e-learning,"peking, beijing, china",china,2912
condé nast,1909,entertainment,"new york, new york, united states",united states,2912
ibm global business services,,information technology and services,,,2909
bjc healthcare,,hospital & health care,"st. louis, missouri, united states",united states,2909
cgg,1931,oil & energy,"schulenburg, texas, united states",united states,2907
tractor supply company,1938,retail,"brentwood, tennessee, united states",united states,2907
sbm offshore,1969,oil & energy,"schiedam, zuid-holland, netherlands",netherlands,2906
mizuho,2002,financial services,"tokyo, tokyo, japan",japan,2905
stockholm university,1878,research,"stockholm, stockholms lan, sweden",sweden,2903
mccormick & company,1889,food production,"sparks, maryland, united states",united states,2903
government of ontario,1867,government administration,,canada,2903
oath,2017,internet,"new york, new york, united states",united states,2902
csl behring,1904,pharmaceuticals,"king of prussia, pennsylvania, united states",united states,2902
australian broadcasting corporation,1932,broadcast media,"sydney, new south wales, australia",australia,2901
universidad de chile,1842,higher education,"santiago, santiago metropolitan, chile",chile,2900
barry callebaut,1996,food production,"zurich, zurich, switzerland",switzerland,2900
retail company,,retail,,,2898
getty images,1995,photography,"seattle, washington, united states",united states,2898
transfield services,2001,facilities services,"north sydney, new south wales, australia",australia,2897
bass pro shops,1972,retail,"springfield, missouri, united states",united states,2896
anne arundel county public schools,,education management,"annapolis, maryland, united states",united states,2895
marathon oil corporation,1887,oil & energy,"houston, texas, united states",united states,2894
aalborg university,1974,research,"aalborg, nordjylland, denmark",denmark,2894
real estate one,,real estate,"southfield, michigan, united states",united states,2893
jollibee foods corporation,1978,restaurants,,,2890
yrc freight,1924,transportation/trucking/railroad,"overland park, kansas, united states",united states,2890
grupo modelo s.a. de c.v.,,food & beverages,"mexico, distrito federal, mexico",mexico,2890
university of florence,,higher education,"firenze, tuscany, italy",italy,2890
galderma,1981,pharmaceuticals,"lausanne, vaud, switzerland",switzerland,2889
midea,1968,electrical/electronic manufacturing,"foshan, guangdong, china",china,2889
genpact headstrong capital markets,1981,information technology and services,"reston, virginia, united states",united states,2889
lone star college,1973,higher education,"the woodlands, texas, united states",united states,2887
dj,,music,,,2887
shanghai jiao tong university,1896,higher education,"shanghai, shanghai, china",china,2887
ministry of education of new zealand,,education management,,new zealand,2885
consiglio nazionale delle ricerche,,research,"rome, lazio, italy",italy,2884
"scentsy, inc.",2004,consumer goods,"meridian, idaho, united states",united states,2884
no fear,1990,apparel & fashion,"carlsbad, california, united states",united states,2883
mercy health (formerly catholic health partners),1985,hospital & health care,"cincinnati, ohio, united states",united states,2882
comfort keepers,1998,individual & family services,"dayton, ohio, united states",united states,2882
tesco plc,1919,retail,"cheshunt, hertfordshire, united kingdom",united kingdom,2881
clarks,1825,retail,"street, somerset, united kingdom",united kingdom,2880
casas bahia,,retail,,,2879
unesco,1945,international affairs,"france, aquitaine, france",france,2878
city of phoenix,1867,government administration,"phoenix, arizona, united states",united states,2878
nemak,1979,automotive,"garcia, nuevo leon, mexico",mexico,2878
herbalife an independent distributor,,"health, wellness and fitness",,,2878
san francisco state university,,higher education,"san francisco, california, united states",united states,2878
acc limited,1936,building materials,"bombay, maharashtra, india",india,2877
"california state university, northridge",1958,higher education,"northridge, california, united states",united states,2874
bpost,1830,logistics and supply chain,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,2874
fod justitie,,government administration,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,2874
university of southern denmark,1966,higher education,"odense, syddanmark, denmark",denmark,2872
"skadden, arps, slate, meagher & flom llp and affiliates",1948,law practice,"new york, new york, united states",united states,2872
loughborough university,1909,higher education,"loughborough, leicestershire, united kingdom",united kingdom,2871
tele2,1986,telecommunications,"ase, vasternorrlands lan, sweden",sweden,2871
plexus corp.,1979,electrical/electronic manufacturing,"neenah, wisconsin, united states",united states,2870
umass medical school,1962,research,"north worcester, massachusetts, united states",united states,2869
sri lanka telecom,1858,telecommunications,,,2868
toronto catholic district school board,1841,education management,"toronto, ontario, canada",canada,2868
asl,1973,information technology and services,"shatin, sha tin, hong kong",hong kong,2867
hennepin county,1852,government administration,"minneapolis, minnesota, united states",united states,2866
aldine isd,,education management,"houston, texas, united states",united states,2865
city national bank,1954,banking,"los angeles, california, united states",united states,2863
estudio contable,,accounting,"río gallegos, santa cruz, argentina",argentina,2863
ensco plc,1987,oil & energy,"london, greater london, united kingdom",united kingdom,2862
sidley austin llp,1866,law practice,"los angeles, california, united states",united states,2862
peking university,1898,research,"peking, beijing, china",china,2862
eastern michigan university,1849,higher education,"ypsilanti, michigan, united states",united states,2860
bowling green state university,1910,higher education,"bowling green, ohio, united states",united states,2859
sebrae,1972,management consulting,,,2859
state govt,,security and investigations,,,2858
hero motocorp ltd,1983,automotive,"new delhi, delhi, india",india,2857
aci worldwide,1975,computer software,"naples, florida, united states",united states,2857
state of new mexico,,government administration,,,2855
old dominion university,,higher education,"norfolk, virginia, united states",united states,2854
ht media ltd,1924,newspapers,"new delhi, delhi, india",india,2852
shi international corp.,1989,information technology and services,"somerset, new jersey, united states",united states,2851
xxxxx,,telecommunications,"legnica, dolnoslaskie, poland",poland,2851
united bank limited,1959,banking,"karachi, sindh, pakistan",pakistan,2850
bsi,1901,information services,"london, greater london, united kingdom",united kingdom,2850
ramsay health care,1964,hospital & health care,"madrid, madrid, spain",spain,2850
dartmouth college,,higher education,"hanover, new hampshire, united states",united states,2850
"sunbelt rentals, inc.",1983,construction,"fort mill, south carolina, united states",united states,2848
barclays uk,,banking,"london, london, united kingdom",united kingdom,2848
egis,,civil engineering,,,2847
cmpc,1920,paper & forest products,"santiago, santiago metropolitan, chile",chile,2846
university of granada,,higher education,"granada, andalusia, spain",spain,2846
st. john providence health system,,hospital & health care,"warren, michigan, united states",united states,2846
christian dior couture,,luxury goods & jewelry,"paris, île-de-france, france",france,2846
belfius,,financial services,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,2845
deutsche bahn,,transportation/trucking/railroad,"berlin, berlin, germany",germany,2845
inter-american development bank,1959,banking,"washington, district of columbia, united states",united states,2844
al tayer group,1979,retail,"daira, dubai, united arab emirates",united arab emirates,2844
new york city transit,1904,transportation/trucking/railroad,,,2842
hampton,,hospitality,"mclean, virginia, united states",united states,2842
dp world,2005,maritime,"jebel ali, dubai, united arab emirates",united arab emirates,2842
grupo osde,1973,hospital & health care,"buenos aires, buenos aires f.d., argentina",argentina,2842
husqvarna group,,consumer goods,"stockholm, stockholms lan, sweden",sweden,2841
carefirst bluecross blueshield,,insurance,"owings mills, maryland, united states",united states,2841
tengizchevroil,1993,oil & energy,"aksay, west kazakhstan, kazakhstan",kazakhstan,2841
ethekwini municipality,,government administration,"natal, rio grande do norte, brazil",brazil,2840
city of hope,1913,hospital & health care,"duarte, california, united states",united states,2839
great-west life,1891,insurance,"winnipeg, manitoba, canada",canada,2837
bradesco seguros,1936,insurance,"barueri, sao paulo, brazil",brazil,2837
william hill,1934,gambling & casinos,"leeds, leeds, united kingdom",united kingdom,2837
prince william county schools,,education management,"manassas, virginia, united states",united states,2837
idemia,2007,information technology and services,,,2835
birlasoft,1995,information technology and services,"edison, new jersey, united states",united states,2834
boise state university,,higher education,,,2833
acelity,2013,medical devices,"san antonio, texas, united states",united states,2831
engie services nederland nv,,mechanical or industrial engineering,"bunnik, utrecht, netherlands",netherlands,2831
xpo logistics europe,1979,logistics and supply chain,"lyon, auvergne-rhône-alpes, france",france,2831
mediclinic,1983,hospital & health care,"stellenbosch, western cape, south africa",south africa,2831
abs-cbn,1953,broadcast media,"quezon city, metro manila, philippines",philippines,2830
planeta tierra (valigia),2003,apparel & fashion,"envigado, antioquia, colombia",colombia,2830
laureate international universities,1998,higher education,"baltimore, maryland, united states",united states,2829
bdo uk llp,,accounting,"london, greater london, united kingdom",united kingdom,2828
seed,,computer software,"kruiningen, provincie zeeland, netherlands",netherlands,2828
ge grid solutions,1892,electrical/electronic manufacturing,"largo, florida, united states",united states,2828
samsung electronics america,1938,consumer electronics,"ridgefield park, new jersey, united states",united states,2828
sans,1987,apparel & fashion,"rijssen, overijssel, netherlands",netherlands,2826
coventry health care,1853,insurance,"hartford, connecticut, united states",united states,2825
pricewaterhousecoopers - service delivery center (pwc sdc),,information technology and services,"bangalore, karnataka, india",india,2824
metro nashville public schools,1964,education management,"nashville, tennessee, united states",united states,2824
universidad de chile,,higher education,,,2823
albuquerque public schools,,primary/secondary education,,,2822
momentum,1966,financial services,"verwoerdburg, gauteng, south africa",south africa,2822
carilion clinic,1899,hospital & health care,"roanoke, virginia, united states",united states,2822
fudan university,,higher education,,,2820
j.p. morgan asset management,,financial services,"new york, new york, united states",united states,2820
nortel,1895,telecommunications,"mississauga, ontario, canada",canada,2820
meituan.com,2010,internet,"peking, beijing, china",china,2819
fort worth isd,,education management,"fort worth, texas, united states",united states,2819
azad university,,computer hardware,,,2815
nnpc,,oil & energy,,,2814
atos it solutions and services a/s,2011,information technology and services,"taastrup, hovedstaden, denmark",denmark,2813
marquette university,1881,higher education,"milwaukee, wisconsin, united states",united states,2813
universiti teknologi malaysia,1972,higher education,"johor bahru, johor, malaysia",malaysia,2812
cib egypt,1975,banking,"gizeh, al jizah, egypt",egypt,2811
personal trainer,,"health, wellness and fitness",,,2811
universidad de guadalajara,,e-learning,"mexico, ohio, united states",united states,2810
worldventures,2005,"leisure, travel & tourism","plano, texas, united states",united states,2810
polk county school board,,education management,"bartow, florida, united states",united states,2809
the huffington post,,online media,"washington, district of columbia, united states",united states,2809
deloitte nederland,,financial services,"rotterdam, zuid-holland, netherlands",netherlands,2807
aam - american axle & manufacturing,1994,automotive,"detroit, michigan, united states",united states,2805
mercedes-benz research and development india,1996,automotive,"bangalore, karnataka, india",india,2804
colas,1929,construction,,,2804
john hancock financial services,,financial services,"boston, massachusetts, united states",united states,2802
financial industry regulatory authority (finra),2007,financial services,"washington, district of columbia, united states",united states,2802
rochester regional health,,hospital & health care,"rochester, new york, united states",united states,2800
brose group,1908,automotive,"coburg, bayern, germany",germany,2799
allianz global assistance,,insurance,"france, aquitaine, france",france,2798
adco,1971,oil & energy,"abu dhabi, abu dhabi, united arab emirates",united arab emirates,2798
national bank of abu dhabi,1968,banking,"abu dhabi, abu dhabi, united arab emirates",united arab emirates,2798
gabinete de psicología ganzheit,,mental health care,,,2797
medstar health,1999,hospital & health care,"columbia, maryland, united states",united states,2797
moog inc.,1951,aviation & aerospace,"east aurora, new york, united states",united states,2797
rai - radiotelevisione italiana s.p.a.,1954,broadcast media,,,2795
inautix technologies,2000,information technology and services,"chennai, tamil nadu, india",india,2794
state of utah,,government administration,"salt lake city, utah, united states",united states,2792
genworth financial,2004,insurance,"richmond, virginia, united states",united states,2792
dcns,,defense & space,,,2792
universidad autónoma de madrid,1968,higher education,"madrid, madrid, spain",spain,2791
op financial group,,banking,"helsinki, uusimaa, finland",finland,2790
loandepot,2010,financial services,"foothill ranch, california, united states",united states,2790
dubai islamic bank,1975,banking,"dubai, dubai, united arab emirates",united arab emirates,2790
lojas riachuelo,1947,retail,"sao paulo, sao paulo, brazil",brazil,2789
university of oslo,1811,higher education,"oslo, oslo, norway",norway,2787
f5 networks,1996,computer networking,"seattle, washington, united states",united states,2786
université de genève,,research,"genève, geneva, switzerland",switzerland,2786
labor ready,1989,staffing and recruiting,"tacoma, washington, united states",united states,2785
hitachi consulting,2000,management consulting,"dallas, texas, united states",united states,2784
studio commercialista,,accounting,"latina, lazio, italy",italy,2783
esri,1969,information technology and services,"redlands, california, united states",united states,2783
västra götalandsregionen,1999,government administration,,,2782
statens vegvesen,1864,government administration,"oslo, oslo, norway",norway,2781
wood group,1971,oil & energy,"aberdeen, aberdeen city, united kingdom",united kingdom,2781
virgin australia,2000,airlines/aviation,"brisbane, queensland, australia",australia,2779
secondary school,,education management,"watertown, connecticut, united states",united states,2779
comercial cmp s.a.,,building materials,,,2779
"university college cork, ireland (ucc)",1845,higher education,,ireland,2779
hogeschool rotterdam,,education management,,,2779
graphic packaging international,,packaging and containers,"atlanta, georgia, united states",united states,2779
iac group,,automotive,"southfield, michigan, united states",united states,2778
tribunal de justica de sp,,government administration,,,2777
hntb,1914,civil engineering,"kansas city, missouri, united states",united states,2777
"morgan, lewis & bockius llp",1873,law practice,"philadelphia, pennsylvania, united states",united states,2776
city of johannesburg,1900,government administration,,,2776
ministerio de defensa,,government administration,,,2775
iupui,,higher education,"indianapolis, indiana, united states",united states,2775
courtyard by marriott,,hospitality,"bethesda, maryland, united states",united states,2774
restaurant associates,1953,food & beverages,"new york, new york, united states",united states,2774
angel broking,1987,financial services,"bombay, maharashtra, india",india,2773
gft group,1987,information technology and services,"stuttgart, baden-wurttemberg, germany",germany,2772
elior,1991,food & beverages,"paris, île-de-france, france",france,2772
aramark healthcare,,hospital & health care,"philadelphia, pennsylvania, united states",united states,2771
harvard business school,,higher education,"boston, massachusetts, united states",united states,2770
"greenberg traurig, llp",1967,law practice,"new york, new york, united states",united states,2769
university of leicester,1921,higher education,"leicester, city of leicester, united kingdom",united kingdom,2768
australian government department of human services,,government administration,,,2767
mia,2003,telecommunications,,,2766
horizon blue cross blue shield of new jersey,1932,insurance,"east newark, new jersey, united states",united states,2763
wolseley,1887,wholesale,"danville, virginia, united states",switzerland,2763
banque de france,,banking,"paris, île-de-france, france",france,2763
bundeswehr,1956,military,,,2761
university of dayton,1850,higher education,"dayton, ohio, united states",united states,2761
northside isd,1949,education management,,,2760
zenith,1988,marketing and advertising,"london, greater london, united kingdom",united kingdom,2754
the ottawa hospital,1998,hospital & health care,"ottawa, ontario, canada",canada,2753
inacap,1966,higher education,"santiago, santiago metropolitan, chile",chile,2753
hotmail,,photography,"tallinn, harjumaa, estonia",estonia,2753
costa coffee,1971,hospitality,,united kingdom,2751
"marta c. turksel, educational consulting",,education management,,,2751
technion - israel institute of technology,1924,higher education,"haifa, hefa, israel",israel,2751
grdf,2008,oil & energy,"france, aquitaine, france",france,2751
lee memorial health system,1916,hospital & health care,"cape coral, florida, united states",united states,2750
bic,,consumer goods,"clichy, ile-de-france, france",france,2750
university of otago,1869,higher education,"dunedin, otago, new zealand",new zealand,2747
intuitive surgical,1999,medical devices,"sunnyvale, california, united states",united states,2747
crowe horwath llp,1942,accounting,"chicago, illinois, united states",united states,2747
university of newcastle,1965,higher education,"newcastle, new south wales, australia",australia,2747
paytm,2010,internet,"noida, uttar pradesh, india",india,2747
indian navy,1947,defense & space,"clinton, new york, united states",united states,2746
prive,,alternative dispute resolution,,,2743
viasat inc.,1986,telecommunications,"carlsbad, california, united states",united states,2743
tufts medical center,,hospital & health care,"boston, massachusetts, united states",united states,2740
rte réseau de transport d'electricité,2000,oil & energy,"puteaux, île-de-france, france",france,2740
banco safra,,banking,"sao paulo, sao paulo, brazil",brazil,2739
tüv süd,1866,public safety,"munich, bavaria, germany",germany,2739
allianz life,,insurance,"minneapolis, minnesota, united states",united states,2738
kent county council,,government administration,"maidstone, kent, united kingdom",united kingdom,2738
azul linhas aéreas brasileiras,2008,airlines/aviation,"barueri, sao paulo, brazil",brazil,2738
lanxess,2005,chemicals,"köln, north rhine-westphalia, germany",germany,2737
anses,,government administration,,,2736
the university of hong kong,1910,higher education,"hong kong, central and western district, hong kong",hong kong,2736
university of rhode island,,higher education,"kingston, rhode island, united states",united states,2736
mosaic sales solutions,,marketing and advertising,"irving, texas, united states",united states,2733
rbc investor & treasury services,2006,financial services,"london, greater london, united kingdom",united kingdom,2732
john wiley and sons,1807,publishing,"hoboken, new jersey, united states",united states,2732
genesys,1990,computer software,"daly city, california, united states",united states,2732
nyc doe,,education management,"new york, new york, united states",united states,2732
jack henry & associates,1976,computer software,"monett, missouri, united states",united states,2730
fortinet,2000,computer & network security,"sunnyvale, california, united states",united states,2730
oslo universitetssykehus,,hospital & health care,"oslo, oslo, norway",norway,2730
scientific games,1973,information technology and services,"las vegas, nevada, united states",united states,2729
haier,1984,consumer goods,,,2729
indépendant,,fine art,,,2728
university at albany,,higher education,"albany, new york, united states",united states,2726
universidad de costa rica,1940,higher education,"san pedro, san jose, costa rica",costa rica,2726
hutchinson,1853,chemicals,"paris, île-de-france, france",france,2725
hackensack university medical center,1888,hospital & health care,"hackensack, new jersey, united states",united states,2725
eiffage,,construction,,,2724
the children's place,,retail,"secaucus, new jersey, united states",united states,2723
american university of beirut,1866,higher education,"beirut, beyrouth, lebanon",lebanon,2723
milliporesigma,,pharmaceuticals,"billerica, massachusetts, united states",united states,2722
sunat,1992,government administration,"lima, lima region, peru",peru,2720
fairfax county government,,government administration,"washington, district of columbia, united states",united states,2720
nabors industries,1952,oil & energy,"bermuda, alabama, united states",united states,2720
evalueserve,2000,research,"columbia, missouri, united states",switzerland,2719
ministry of health and long-term care,1999,government administration,"toronto, ontario, canada",canada,2719
standard life,1825,financial services,"edinburgh, edinburgh, united kingdom",united kingdom,2719
aldo group,1972,retail,"montréal, quebec, canada",canada,2719
webhelp,2000,outsourcing/offshoring,"paris, île-de-france, france",france,2718
chez moi,,hospitality,,,2717
esof consultancy pvt. ltd.,2013,oil & energy,,,2717
naval facilities engineering command (navfac),1842,facilities services,"washington, district of columbia, united states",united states,2717
portland public schools,1851,education management,"portland, oregon, united states",united states,2716
kth royal institute of technology,1827,research,"ase, vasternorrlands lan, sweden",sweden,2716
penske logistics,1969,logistics and supply chain,"reading, pennsylvania, united states",united states,2715
vancouver island health authority,,hospital & health care,"victoria, british columbia, canada",canada,2714
baptist health,1955,hospital & health care,"jacksonville, florida, united states",united states,2714
perfetti van melle,2001,food & beverages,"amsterdam, noord-holland, netherlands",netherlands,2714
dksh,1865,logistics and supply chain,"zurich, zurich, switzerland",switzerland,2713
red lobster,1968,restaurants,"orlando, florida, united states",united states,2713
shapoorji pallonji & co. ltd.,1865,construction,"bombay, maharashtra, india",india,2713
maine medical center,1870,hospital & health care,"portland, maine, united states",united states,2712
teamhealth,1979,hospital & health care,"knoxville, tennessee, united states",united states,2712
the university of texas at el paso,1914,higher education,"el paso, texas, united states",united states,2712
palmetto health,1998,hospital & health care,"columbia, south carolina, united states",united states,2710
university of strathclyde,,higher education,"glasgow, glasgow city, united kingdom",united kingdom,2709
the freeman company,1927,events services,"dallas, texas, united states",united states,2476
sisters of providence health system,,hospital & health care,"springfield, massachusetts, united states",united states,2476
edina realty,1955,real estate,"edina, minnesota, united states",united states,2475
energizer,1896,consumer goods,"st. louis, missouri, united states",united states,2475
young & rubicam,1923,marketing and advertising,"new york, new york, united states",united states,2475
"spectrum brands, inc",,consumer goods,"middleton, wisconsin, united states",united states,2474
experis,2011,staffing and recruiting,"milwaukee, wisconsin, united states",united states,2474
profession libérale,,medical practice,"paris, île-de-france, france",france,2473
consultorio odontologico,,research,,,2473
bluecross blueshield of south carolina,1946,insurance,"columbia, south carolina, united states",united states,2472
goodwill industries international,1902,non-profit organization management,"rockville, maryland, united states",united states,2472
sirius xm radio inc.,1990,entertainment,"new york, new york, united states",united states,2471
flagstar bank,,banking,"troy, michigan, united states",united states,2471
"customs & central excise department, ministry of finance, government of india",,financial services,,,2471
sinclair broadcast group,1986,broadcast media,"cockeysville, maryland, united states",united states,2471
state of maine,1820,government administration,"augusta, maine, united states",united states,2471
wsp usa,1885,civil engineering,"new york, new york, united states",united states,2470
university of indonesia,,higher education,"jakarta, jakarta raya, indonesia",indonesia,2469
tata teleservices ltd,1996,telecommunications,,,2468
houston community college,1971,higher education,"houston, texas, united states",united states,2468
university of massachusetts,1863,higher education,"boston, massachusetts, united states",united states,2468
salt river project,1903,utilities,"tempe, arizona, united states",united states,2465
wake forest university,1834,higher education,"winston salem, north carolina, united states",united states,2464
brd,1991,banking,,romania,2463
nice systems,1986,computer software,"hoboken, new jersey, united states",united states,2462
oakland university,1957,higher education,"rochester, michigan, united states",united states,2462
davivienda,1972,financial services,,,2462
disa,1960,information technology and services,"minneapolis, minnesota, united states",united states,2461
s&p global,,information services,,united states,2461
guy's and st thomas' nhs foundation trust,,hospital & health care,"london, greater london, united kingdom",united kingdom,2461
amn healthcare,1985,staffing and recruiting,"san diego, california, united states",united states,2460
moi même,,"leisure, travel & tourism",,,2460
wmata,1967,transportation/trucking/railroad,"washington, district of columbia, united states",united states,2459
julius baer,1890,banking,"zurich, zurich, switzerland",switzerland,2459
gasco,1978,oil & energy,"abu dhabi, abu dhabi, united arab emirates",united arab emirates,2458
portland community college,1961,higher education,"portland, oregon, united states",united states,2458
the depository trust & clearing corporation (dtcc),1973,financial services,"new york, new york, united states",united states,2458
sep,,computer software,,,2457
