name,year_founded,industry,locality,country,current_employee_estimate
københavns kommune,,government administration,"denmark, western australia, australia",australia,5143
yapı kredi,1944,banking,"i̇stanbul, istanbul, turkey",turkey,5141
umc utrecht,,hospital & health care,"utrecht, utrecht, netherlands",netherlands,5140
farmacia,1898,"health, wellness and fitness","madrid, madrid, spain",spain,5140
university of delaware,,higher education,"newark, delaware, united states",united states,5128
net serviços de comunicação s/a,,telecommunications,,,5126
burberry,1856,luxury goods & jewelry,"london, greater london, united kingdom",united kingdom,5124
government of india,,law enforcement,,,5118
latam airlines,2012,airlines/aviation,,,5115
secretaria de estado da educação - see,,primary/secondary education,,,5114
quad/graphics,1971,printing,"sussex, wisconsin, united states",united states,5112
rsa,,insurance,"london, greater london, united kingdom",united kingdom,5112
ivy tech community college,1967,higher education,"indianapolis, indiana, united states",united states,5110
conagra foods,1919,food production,"chicago, illinois, united states",united states,5109
jumeirah group / jumeirah hotels & resorts,1997,hospitality,"dubai, dubai, united arab emirates",united arab emirates,5104
eastman chemical company,1920,chemicals,"kingsport, tennessee, united states",united states,5104
cdk global,1972,computer software,"hoffman estates, illinois, united states",united states,5099
save the children international,,non-profit organization management,"london, greater london, united kingdom",united kingdom,5092
aarhus university,1928,research,"arhus, midtjylland, denmark",denmark,5082
alfa laval,1883,mechanical or industrial engineering,"lund, skåne, sweden",sweden,5082
washington state university,1890,higher education,"pullman, washington, united states",united states,5078
balfour beatty plc,1909,construction,"london, london, united kingdom",united kingdom,5077
sunrise senior living,1981,hospital & health care,"mclean, virginia, united states",united states,5076
hr&rec,,staffing and recruiting,,,5074
european parliament,,political organization,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,5072
university of birmingham,1900,higher education,"sandwell, sandwell, united kingdom",united kingdom,5072
rush university medical center,1837,hospital & health care,"chicago, illinois, united states",united states,5065
abnamro bank (china) co.ltd,,banking,,,5060
emory healthcare,,hospital & health care,"atlanta, georgia, united states",united states,5059
volvo trucks,1928,automotive,"ase, vasternorrlands lan, sweden",sweden,5058
tj maxx,,retail,,,5058
palawan biodiesel development corporation,,renewables & environment,,,5058
uchealth,1921,hospital & health care,"aurora, colorado, united states",united states,5046
griffith university,1975,higher education,"nathan, queensland, australia",australia,5044
mary kay idependent consultant,,cosmetics,,,5041
toronto district school board,,primary/secondary education,"toronto, ontario, canada",canada,5034
volvo group,1927,transportation/trucking/railroad,"göteborg, vaestra goetaland, sweden",sweden,5034
jet airways,1993,airlines/aviation,"bombay, maharashtra, india",india,5030
aon hewitt,1940,human resources,"lincolnshire, illinois, united states",united states,5026
state of washington,1889,government administration,"olympia, washington, united states",united states,5025
sars,1997,government administration,"pretoria, gauteng, south africa",south africa,5023
mount sinai health system,2013,hospital & health care,"new york, new york, united states",united states,5022
iom,1951,non-profit organization management,"orange, florida, united states",switzerland,5022
molina healthcare,1980,hospital & health care,"long beach, california, united states",united states,5012
entel,1964,telecommunications,"santiago, santiago metropolitan, chile",chile,5008
codelco – corporación nacional del cobre de chile,1971,mining & metals,"santiago, santiago metropolitan, chile",chile,5004
niit technologies limited,2004,information technology and services,"atlanta, georgia, united states",united states,5003
chipotle mexican grill,1993,restaurants,"denver, colorado, united states",united states,5002
autônomo,,"health, wellness and fitness",,,5000
kementerian pelajaran malaysia,,education management,,malaysia,4998
asurion,1994,information technology and services,"nashville, tennessee, united states",united states,4995
menards,1960,retail,"eau claire, wisconsin, united states",united states,4994
airbnb,2008,internet,"san francisco, california, united states",united states,4993
t. rowe price,1937,investment management,"baltimore, maryland, united states",united states,4991
sandia national laboratories,1945,defense & space,"albuquerque, new mexico, united states",united states,4991
college,,animation,,,4991
ohio university,1804,higher education,"athens, ohio, united states",united states,4990
senac,1946,higher education,"sao paulo, sao paulo, brazil",brazil,4990
ptcl,1949,telecommunications,"islamabad, islamabad, pakistan",pakistan,4988
media markt,1979,retail,"ingolstadt, bavaria, germany",germany,4985
contax,2000,information technology and services,,,4980
healthsouth,,hospital & health care,"miami, florida, united states",united states,4974
anhanguera educacional s.a.,1994,education management,"sao paulo, sao paulo, brazil",brazil,4974
coca-cola amatil,,food & beverages,"north sydney, new south wales, australia",australia,4974
coach,1941,retail,"new york, new york, united states",united states,4973
india infoline ltd,1995,financial services,"bombay, maharashtra, india",india,4973
equinox,1991,"health, wellness and fitness","new york, new york, united states",united states,4968
sfr,2014,telecommunications,"paris, île-de-france, france",france,4967
usana health sciences,1992,"health, wellness and fitness","salt lake city, utah, united states",united states,4966
mcafee,1987,computer & network security,"santa clara, california, united states",united states,4964
hella,1899,automotive,"lippstadt, nordrhein-westfalen, germany",germany,4962
akbank,,banking,"i̇stanbul, istanbul, turkey",turkey,4961
freescale semiconductor,2004,semiconductors,"austin, texas, united states",united states,4961
ally financial inc.,1919,financial services,"detroit, michigan, united states",united states,4953
netflix,1997,entertainment,"los gatos, california, united states",united states,4949
ministry of finance,,government administration,,,4942
kerry,1972,food production,"tralee, kerry, ireland",ireland,4940
tech data,1974,information technology and services,"clearwater, florida, united states",united states,4940
syracuse university,1870,higher education,"syracuse, new york, united states",united states,4937
sc johnson,,consumer goods,"racine, wisconsin, united states",united states,4936
freddie mac,1970,financial services,"mclean, virginia, united states",united states,4936
itc limited,1910,consumer goods,"calcutta, west bengal, india",india,4932
tsinghua university,1911,higher education,"peking, beijing, china",china,4926
insight,1988,information technology and services,"tempe, arizona, united states",united states,4924
tupperware brands,1946,consumer goods,"orlando, florida, united states",united states,4921
thyssenkrupp elevator,,machinery,"frisco, texas, united states",united states,4920
ministero della giustizia,,government administration,,,4910
the wendy's company,1969,restaurants,"dublin, ohio, united states",united states,4910
princeton university,,higher education,"princeton, new jersey, united states",united states,4905
los alamos national laboratory,1943,research,"los alamos, new mexico, united states",united states,4901
sbb cff ffs,1902,transportation/trucking/railroad,,switzerland,4896
the university of auckland,,higher education,"auckland, auckland, new zealand",new zealand,4895
fedex office,1971,printing,"plano, texas, united states",united states,4894
george mason university,1972,higher education,"fairfax, virginia, united states",united states,4894
burns & mcdonnell,1898,civil engineering,"kansas city, missouri, united states",united states,4893
technicolor,1915,entertainment,"los angeles, california, united states",united states,4892
banco de chile,1893,banking,"santiago, santiago metropolitan, chile",chile,4889
nanyang technological university,,higher education,,singapore,4886
u.s. department of the treasury,1789,government administration,"washington, district of columbia, united states",united states,4886
dnb,1822,financial services,"oslo, oslo, norway",norway,4885
visteon corporation,2000,automotive,"belleville, michigan, united states",united states,4885
the co-operative group,1844,retail,"manchester, manchester, united kingdom",united kingdom,4882
university medical center groningen,,hospital & health care,"groningen, groningen, netherlands",netherlands,4882
